planName, telemetryRowIndex, microsecondsSinceGpsEpoch, wattsPerM2, wavelength
DownScan, 29157, 943413450850000.2, 0.001767704437710398, 180.005
DownScan, 29158, 943413452600000.2, 0.0017838676687722405, 179.16
DownScan, 29159, 943413454350000.2, 0.001803811485761151, 181.47
DownScan, 29160, 943413456100000.2, 0.001827579464296104, 179.1
DownScan, 29161, 943413457850000.2, 0.0018447606104254192, 180.94
DownScan, 29162, 943413459600000.2, 0.0018693958966600045, 178.94
DownScan, 29163, 943413461350000.2, 0.00188850453823807, 182.055
DownScan, 29165, 943413464850000.2, 0.0019308000893199775, 184.54
DownScan, 29166, 943413466600000.2, 0.001945925604567147, 180.48
DownScan, 29167, 943413468350000.2, 0.001960920503739768, 185.225
DownScan, 29170, 943413473600000.2, 0.002006383222414067, 181.995
DownScan, 29173, 943413478850000.2, 0.0020504324719181747, 181.08
DownScan, 29174, 943413480600000.2, 0.002062660303861666, 181.85
DownScan, 29176, 943413484100000.2, 0.002092384488840132, 182.65
DownScan, 29177, 943413485850000.2, 0.0021008281835183393, 182.105
DownScan, 29178, 943413487600000.2, 0.002106663369752479, 181.96
DownScan, 29179, 943413489350000.2, 0.0021168325510365353, 181.05
DownScan, 29180, 943413491100000.2, 0.0021232419519114287, 183.105
DownScan, 29181, 943413492850000.2, 0.002122475552981922, 183.095
DownScan, 29182, 943413494600000.2, 0.0021266494703016258, 184.365
DownScan, 29183, 943413496350000.2, 0.0021233052292616325, 183.105
DownScan, 29184, 943413498100000.2, 0.0021125608437501508, 181.07
DownScan, 29187, 943413503350000.2, 0.002085886965800831, 181.075
DownScan, 29188, 943413505100000.2, 0.0020748403776202342, 184.38
DownScan, 29189, 943413506850000.2, 0.002064682535861955, 181.82
DownScan, 29191, 943413510350000.2, 0.0020435811861613602, 181.845
DownScan, 29192, 943413512100000.2, 0.0020342352369080345, 184.2
DownScan, 29193, 943413513850000.2, 0.0020277325842906454, 181.03
DownScan, 29196, 943413519100000.2, 0.0020145815114406946, 184.605
